ID,type,http__www_w3_org_2004_02_skos_core_broader,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_prefLabel
https://aphia.org/ns/traits/fossil_range#frasnian,concept,https://aphia.org/ns/traits/fossil_range#devonian_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,frasnian
https://aphia.org/ns/traits/fossil_range#carboniferous,concept,https://aphia.org/ns/traits/fossil_range#paleozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#pennsylvanian,https://aphia.org/ns/traits/,,carboniferous
https://aphia.org/ns/traits/fossil_range#rhaetian,concept,https://aphia.org/ns/traits/fossil_range#triassic_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,rhaetian
https://aphia.org/ns/traits/fossil_range#ordovician,concept,https://aphia.org/ns/traits/fossil_range#paleozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#ordovician_upper,https://aphia.org/ns/traits/,,ordovician
https://aphia.org/ns/traits/fossil_range#wuchiapingian,concept,https://aphia.org/ns/traits/fossil_range#lopingian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,wuchiapingian
https://aphia.org/ns/traits/fossil_range#barremian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,barremian
https://aphia.org/ns/traits/fossil_range#cretaceous,concept,https://aphia.org/ns/traits/fossil_range#mesozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#cretaceous_lower,https://aphia.org/ns/traits/,,cretaceous
https://aphia.org/ns/traits/fossil_range#sheinwoodian,concept,https://aphia.org/ns/traits/fossil_range#wenlock,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,sheinwoodian
https://aphia.org/ns/traits/fossil_range#quaternary,concept,https://aphia.org/ns/traits/fossil_range#cenozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#pleistocene,https://aphia.org/ns/traits/,,quaternary
https://aphia.org/ns/traits/fossil_range#floian,concept,https://aphia.org/ns/traits/fossil_range#ordovician_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,floian
https://aphia.org/ns/traits/fossil_range#serpukhovian,concept,https://aphia.org/ns/traits/fossil_range#mississippian_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,serpukhovian
https://aphia.org/ns/traits/fossil_range#fortunian,concept,https://aphia.org/ns/traits/fossil_range#terreneuvian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,fortunian
https://aphia.org/ns/traits/fossil_range#hauterivian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,hauterivian
https://aphia.org/ns/traits/fossil_range#cambrian,concept,https://aphia.org/ns/traits/fossil_range#paleozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#furongian,https://aphia.org/ns/traits/,,cambrian
https://aphia.org/ns/traits/fossil_range#phanerozoic,concept,,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#mesozoic,https://aphia.org/ns/traits/,,phanerozoic
https://aphia.org/ns/traits/fossil_range#pragian,concept,https://aphia.org/ns/traits/fossil_range#devonian_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,pragian
https://aphia.org/ns/traits/fossil_range#sinemurian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,sinemurian
https://aphia.org/ns/traits/fossil_range#mississippian_middle,concept,https://aphia.org/ns/traits/fossil_range#mississippian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#visean,https://aphia.org/ns/traits/,,mississippian middle
https://aphia.org/ns/traits/fossil_range#kimmeridgian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,kimmeridgian
https://aphia.org/ns/traits/fossil_range#statherian,concept,https://aphia.org/ns/traits/fossil_range#paleoproterozoic,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,statherian
https://aphia.org/ns/traits/fossil_range#wenlock,concept,https://aphia.org/ns/traits/fossil_range#silurian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#sheinwoodian,https://aphia.org/ns/traits/,,wenlock
https://aphia.org/ns/traits/fossil_range#selandian,concept,https://aphia.org/ns/traits/fossil_range#paleocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,selandian
https://aphia.org/ns/traits/fossil_range#jurassic_upper,concept,https://aphia.org/ns/traits/fossil_range#jurassic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#tithonian,https://aphia.org/ns/traits/,,jurassic upper
https://aphia.org/ns/traits/fossil_range#burdigalian,concept,https://aphia.org/ns/traits/fossil_range#miocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,burdigalian
https://aphia.org/ns/traits/fossil_range#aptian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,aptian
https://aphia.org/ns/traits/fossil_range#callovian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,callovian
https://aphia.org/ns/traits/fossil_range#gzhelian,concept,https://aphia.org/ns/traits/fossil_range#pennsylvanian_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,gzhelian
