ID,type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_prefLabel,http__www_w3_org_2004_02_skos_core_definition,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_1999_02_22-rdf-syntax-ns_type
https://aphia.org/ns/traits/ambi_ecological_group#,collection,AZTI’s Marine Biotic Index ecological group,,,,https://aphia.org/ns/traits/ambi_ecological_group#first_order_opportunistic,
https://aphia.org/ns/traits/ambi_ecological_group#indifferent_to_disturbance,concept,,https://aphia.org/ns/traits/,Indifferent to disturbance,"Species indifferent to disturbance, always present in low densities with non-significant variations with time (they are present in mature systems and slight unbalanced).",,https://aphia.org/ns/attribute-trait/Trait
https://aphia.org/ns/traits/ambi_ecological_group#second_order_opportunistic,concept,,https://aphia.org/ns/traits/,Second-order opportunistic,"Second-order opportunistic species, able to resist some periods of low oxygen levels, and some concentration of pollutants (present in slight to pronounced unbalanced situations).",,https://aphia.org/ns/attribute-trait/Trait
https://aphia.org/ns/traits/ambi_ecological_group#first_order_opportunistic,concept,,https://aphia.org/ns/traits/,First-order opportunistic,"First-order opportunistic species, able to resist very low oxygen levels, episodes of anoxia and high concentration of pollutants, early and successful pioneers (present in pronounced unbalanced situations).",,https://aphia.org/ns/attribute-trait/Trait
https://aphia.org/ns/traits/ambi_ecological_group#tolerant_to_disturbance,concept,,https://aphia.org/ns/traits/,Tolerant to disturbance,"Species tolerant to disturbance. These species may occur under normal conditions (e.g. in naturally disturbed or enriched conditions, such as estuaries), but their populations are stimulated by some disturbances, such as organic enrichment (present in slight unbalanced situations).",,https://aphia.org/ns/attribute-trait/Trait
https://aphia.org/ns/traits/ambi_ecological_group#very_sensitive_to_disturbance,concept,,https://aphia.org/ns/traits/,Very sensitive to disturbance,Species very sensitive to disturbance and present under undisturbed conditions (they are present in mature systems).,,https://aphia.org/ns/attribute-trait/Trait
