ID,type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_definition,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__www_w3_org_2004_02_skos_core_prefLabel,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_broader
https://aphia.org/ns/traits/plant_habit#,collection,The characteristic form in which a given species of plant grows,https://aphia.org/ns/traits/plant_habit#herb,,,,,,
https://aphia.org/ns/traits/plant_habit#perennial_herb,concept,,,Plant which persists for several years.,https://aphia.org/ns/attribute-trait/Trait,Perennial herb,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/plant_habit#herb
https://aphia.org/ns/traits/plant_habit#biennial_herb,concept,,,Plant living for two years and fruiting only in the second.,https://aphia.org/ns/attribute-trait/Trait,Biennial herb,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/plant_habit#herb
https://aphia.org/ns/traits/plant_habit#tree,concept,,,"A woody perennial plant which has a single main trunk at least 7.5 cm in diameter at 1.3 m height, a definitely formed crown of foliage, and a height of at least 4 m.",https://aphia.org/ns/attribute-trait/Trait,Tree,https://aphia.org/ns/traits/,,
https://aphia.org/ns/traits/plant_habit#annual_herb,concept,,,(1) appl. structures or growth features that are marked off or completed yearly; (2) living for a year only; (3) completing life-cycle in a year from germination; (4) n. plant that completes its life-cycle in a year.,https://aphia.org/ns/attribute-trait/Trait,Annual herb,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/plant_habit#herb
https://aphia.org/ns/traits/plant_habit#shrub,concept,,,"Low-growing woody plant, usually less than 6 m high, that does not have a main trunk and which branches from the base.",https://aphia.org/ns/attribute-trait/Trait,Shrub,https://aphia.org/ns/traits/,,
https://aphia.org/ns/traits/plant_habit#herb,concept,,,Any seed plant with non-woody green stems.,https://aphia.org/ns/attribute-trait/Trait,Herb,https://aphia.org/ns/traits/,https://aphia.org/ns/traits/plant_habit#perennial_herb,
https://aphia.org/ns/traits/plant_habit#vine,concept,,,,https://aphia.org/ns/attribute-trait/Trait,Vine,https://aphia.org/ns/traits/,,
